#{"t_start": 1743034456.1590307, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,97.00639
-50.0,50,98.014075
-50.0,50,99.014081
-50.0,50,100.024302
-19.0,20,101.018897
-50.0,50,102.035382
-50.0,50,103.032276
-50.0,50,104.042584
0.0,1,104.984154
-20.0,21,105.007625
-50.0,50,107.195517
-50.0,50,108.170227
-50.0,50,109.09544
-50.0,50,110.167394
-50.0,50,111.426291
-2.0,3,112.020298
-50.0,50,113.121676
-3.0,4,114.031877
-8.0,9,115.045397
-50.0,50,116.406591
-50.0,50,117.125988
-50.0,50,118.137318
-50.0,50,119.125979
-2.0,3,120.058988
-50.0,50,121.167869
-50.0,50,122.32126
-50.0,50,123.152306
-50.0,50,124.164124
-17.0,18,125.110879
-50.0,50,126.152044
-48.0,49,127.153476
-50.0,50,128.155797
-4.0,5,129.108294
-50.0,50,130.166667
-50.0,50,131.189677
-50.0,50,132.176641
0.0,1,133.134109
-50.0,50,134.194756
-50.0,50,135.19456
-50.0,50,136.209877
-19.0,20,137.217447
-50.0,50,138.291178
-13.0,14,139.202155
-50.0,50,140.344708
-50.0,50,141.301429
-50.0,50,142.389285
-50.0,50,143.356462
-50.0,50,144.313795
-50.0,50,145.369512
-50.0,50,146.379366
-50.0,50,147.36859
-50.0,50,148.396643
-50.0,50,149.389964
-50.0,50,150.351961
-50.0,50,151.408792
-36.0,37,152.352386
-4.0,5,153.237195
-50.0,50,154.428911
-50.0,50,155.371227
-50.0,50,156.382011
-50.0,50,160.059523
-50.0,50,160.45914
-50.0,50,161.414496
-50.0,50,162.401875
-50.0,50,163.468289
-50.0,50,164.43334
-50.0,50,165.406186
-50.0,50,166.479388
-46.0,47,167.422606
-50.0,50,168.435298
-50.0,50,169.420872
-50.0,50,170.443236
-9.0,10,171.329224
-50.0,50,172.456006
-50.0,50,173.454984
-50.0,50,174.518021
-13.0,14,175.368769
-50.0,50,176.527765
-50.0,50,177.504576
-50.0,50,178.456669
-50.0,50,179.453151
-50.0,50,180.453542
-32.0,33,181.446678
-50.0,50,182.46764
-50.0,50,183.476779
-30.0,31,184.432092
-14.0,15,185.40493
-50.0,50,186.484403
-50.0,50,187.493865
-37.0,38,188.471089
-50.0,50,189.493402
-50.0,50,190.518872
-48.0,49,191.519654
-50.0,50,192.528801
-50.0,50,193.535955
-11.0,12,194.447488
-50.0,50,195.546563
-4.0,5,196.449167
-50.0,50,197.559742
-50.0,50,198.562167
-50.0,50,199.551011
-43.0,44,200.581796
-50.0,50,201.591661
-14.0,15,202.518544
-22.0,23,203.55979
-50.0,50,204.623832
-50.0,50,205.668597
-50.0,50,209.538193
-4.0,5,210.49886
-50.0,50,211.651042
-17.0,18,212.539657
-50.0,50,213.608807
-41.0,42,214.604358
-50.0,50,215.702506
-50.0,50,216.658185
-50.0,50,217.654854
-32.0,33,218.608012
-50.0,50,219.659671
-50.0,50,220.662237
-50.0,50,221.65677
-50.0,50,222.653494
-50.0,50,223.672289
-50.0,50,224.682217
-50.0,50,225.692787
-50.0,50,226.67673
-50.0,50,227.68453
-50.0,50,228.763624
-50.0,50,229.759211
-50.0,50,230.778243
-50.0,50,231.818704
-50.0,50,232.802715
-49.0,50,233.821205
-50.0,50,234.850285
-50.0,50,235.822867
-50.0,50,236.836167
-1.0,2,237.638235
-50.0,50,238.788367
-50.0,50,239.798993
-50.0,50,240.797199
-50.0,50,241.858661
-4.0,5,242.686689
-50.0,50,243.81491
-50.0,50,244.817233
-50.0,50,245.829337
-50.0,50,246.85133
-50.0,50,247.909359
-50.0,50,248.840214
-50.0,50,249.855335
-50.0,50,250.85612
-50.0,50,251.870398
-50.0,50,252.881306
-50.0,50,253.855824
-50.0,50,259.439571
-50.0,50,259.890893
-50.0,50,260.86894
-50.0,50,261.877452
-6.0,7,262.768599
-50.0,50,263.90962
-50.0,50,264.908402
-50.0,50,265.891183
-50.0,50,266.896581
-43.0,44,267.884761
0.0,1,268.776311
-50.0,50,268.894748
-50.0,50,269.898618
-50.0,50,270.916741
-50.0,50,271.970229
-50.0,50,273.008018
-50.0,50,273.954352
-50.0,50,275.000415
-50.0,50,276.011904
-50.0,50,276.928592
-50.0,50,277.94305
-50.0,50,278.943861
-50.0,50,279.944654
-50.0,50,280.956823
-1.0,2,281.844886
-50.0,50,283.013771
-50.0,50,283.964856
-50.0,50,284.982244
-50.0,50,285.980923
-50.0,50,287.001643
-50.0,50,288.005879
-36.0,37,288.96658
-50.0,50,290.056543
-50.0,50,291.019749
-50.0,50,292.031835
-50.0,50,293.007355
-50.0,50,294.056208
-50.0,50,295.023331
-50.0,50,296.044087
-50.0,50,297.037658
-10.0,11,297.975504
-50.0,50,299.118544
-47.0,48,300.074556
-50.0,50,301.107314
-50.0,50,302.090423
-50.0,50,305.449848
-3.0,4,305.969208
-50.0,50,307.115717
-6.0,7,307.997403
-40.0,41,309.077313
-50.0,50,310.111614
-50.0,50,311.119067
-1.0,2,311.998106
-50.0,50,313.109299
-50.0,50,314.126684
-50.0,50,315.156848
-50.0,50,316.142492
-50.0,50,317.137229
-50.0,50,318.143068
-3.0,4,319.041333
-50.0,50,320.153605
-50.0,50,321.223071
-50.0,50,322.187354
-50.0,50,323.172642
-50.0,50,324.202664
-50.0,50,325.190457
-50.0,50,326.207772
-50.0,50,327.195697
-50.0,50,328.185586
-50.0,50,329.204104
-50.0,50,330.227048
-50.0,50,331.240824
-50.0,50,332.231943
-50.0,50,332.754355
-50.0,50,332.973275
-50.0,50,333.18149
-50.0,50,333.419763
-50.0,50,333.646337
-50.0,50,333.876308
-50.0,50,334.088854
-50.0,50,334.286342
-40.0,41,334.472152
-50.0,50,334.692344
-50.0,50,334.901449
-50.0,50,335.106941
-50.0,50,335.334888
-50.0,50,335.564902
-50.0,50,335.785784
-50.0,50,336.007242
-50.0,50,336.232805
-50.0,50,339.573847
-50.0,50,339.796499
-50.0,50,340.01204
-50.0,50,340.237092
-16.0,17,340.320563
-50.0,50,340.531272
-50.0,50,340.742658
-50.0,50,340.975498
-50.0,50,341.192126
-50.0,50,341.422537
-43.0,44,341.647911
-50.0,50,341.867631
-50.0,50,342.088009
-50.0,50,342.290915
-7.0,8,342.327344
-10.0,11,342.37498
-50.0,50,342.597514
-50.0,50,342.831901
-50.0,50,343.079623
-11.0,12,343.132916
-50.0,50,343.362021
-50.0,50,343.572017
-50.0,50,343.793154
