#{"t_start": 1743034456.1590307, "env_id": "PandaReach-v3"}
r,l,t
-10.0,11,-18786.081229
-4.0,5,-18786.073014
-10.0,11,-18786.058635
-10.0,11,-18786.042128
-10.0,11,-18786.025706
-7.0,8,-18786.010202
-10.0,11,-18785.992686
-14.0,15,-18785.96591
-20.0,21,-18785.940696
-21.0,22,-18785.915566
-1.0,2,-18785.907992
-15.0,16,-18785.89428
-12.0,13,-18785.882232
-9.0,10,-18785.868117
-20.0,21,-18785.841287
-9.0,10,-18785.829254
-9.0,10,-18785.81736
-7.0,8,-18785.802806
-18.0,19,-18785.783815
-9.0,10,-18785.766528
-8.0,9,-18785.751959
-12.0,13,-18785.732519
-4.0,5,-18785.721317
-5.0,6,-18785.710982
-30.0,31,-18785.681065
-8.0,9,-18785.666751
-10.0,11,-18785.647313
0.0,1,-18785.640466
-2.0,3,-18785.635954
-10.0,11,-18785.623992
-9.0,10,-18785.607171
-6.0,7,-18785.593546
-10.0,11,-18785.581521
-3.0,4,-18785.5677
-11.0,12,-18785.553784
-16.0,17,-18785.532778
-5.0,6,-18785.517508
-35.0,36,-18785.472446
-45.0,46,-18785.424156
-7.0,8,-18785.409163
-4.0,5,-18785.403194
-7.0,8,-18785.390675
-11.0,12,-18785.371279
-9.0,10,-18785.356483
-13.0,14,-18785.33548
-44.0,45,-18784.301139
-3.0,4,-18783.331155
-5.0,6,-18782.32277
-5.0,6,-18781.317675
-10.0,11,-18780.309065
-3.0,4,-18779.310796
-4.0,5,-18778.303036
-7.0,8,-18777.297298
-3.0,4,-18776.295748
-3.0,4,-18775.29057
-1.0,2,-18774.287933
-3.0,4,-18774.284176
-3.0,4,-18773.281054
-9.0,10,-18772.272465
-20.0,21,-18771.551612
-5.0,6,-18771.539147
-24.0,25,-18771.514827
-5.0,6,-18771.500624
-4.0,5,-18771.493868
-8.0,9,-18771.481793
-1.0,2,-18771.471337
-4.0,5,-18770.985695
-7.0,8,-18770.976645
-4.0,5,-18770.971063
-2.0,3,-18770.964485
-5.0,6,-18770.95903
-9.0,10,-18770.942537
-5.0,6,-18770.929023
-9.0,10,-18770.916646
-16.0,17,-18770.893003
-3.0,4,-18770.886718
-17.0,18,-18770.866607
-13.0,14,-18770.8455
-3.0,4,-18770.83717
-26.0,27,-18770.807025
-5.0,6,-18770.794732
-2.0,3,-18770.789259
0.0,1,-18770.788094
-3.0,4,-18770.779876
-5.0,6,-18770.769512
0.0,1,-18770.766128
-3.0,4,-18770.762278
-12.0,13,-18770.746201
-15.0,16,-18770.726849
-4.0,5,-18770.720494
-3.0,4,-18770.713158
-7.0,8,-18770.701477
-4.0,5,-18770.695853
-5.0,6,-18770.686147
-2.0,3,-18770.680953
-4.0,5,-18770.676147
-9.0,10,-18770.666631
-4.0,5,-18770.653609
-5.0,6,-18770.64328
-13.0,14,-18770.629397
-13.0,14,-18770.612268
-6.0,7,-18770.600155
-14.0,15,-18770.575088
-8.0,9,-18770.558016
-6.0,7,-18770.543338
-8.0,9,-18770.533762
-4.0,5,-18770.528528
-9.0,10,-18770.515684
-35.0,36,-18770.474378
-1.0,2,-18770.452863
-10.0,11,-18770.442565
-3.0,4,-18770.436133
-7.0,8,-18770.425132
-12.0,13,-18770.413536
-7.0,8,-18770.400266
-3.0,4,-18770.396002
-13.0,14,-18770.377281
-2.0,3,-18770.37111
-8.0,9,-18770.362473
-3.0,4,-18770.353985
-8.0,9,-18770.340674
-8.0,9,-18770.324424
-24.0,25,-18770.302081
-3.0,4,-18770.295087
-10.0,11,-18770.281155
-6.0,7,-18770.26759
-4.0,5,-18770.261002
-6.0,7,-18770.251031
-20.0,21,-18770.230828
-5.0,6,-18770.218611
-9.0,10,-18770.207052
-4.0,5,-18770.194173
-3.0,4,-18770.187286
-4.0,5,-18770.177705
-5.0,6,-18770.168845
-3.0,4,-18770.161972
-12.0,13,-18770.145398
-3.0,4,-18770.135713
-9.0,10,-18770.123248
-6.0,7,-18770.109251
-6.0,7,-18770.100945
-3.0,4,-18770.095724
-1.0,2,-18770.088786
-4.0,5,-18770.084208
-11.0,12,-18770.071189
-5.0,6,-18770.059828
-3.0,4,-18770.052373
-6.0,7,-18770.042328
-7.0,8,-18770.03217
-18.0,19,-18770.006479
-12.0,13,-18769.986554
-14.0,15,-18769.968486
-6.0,7,-18769.958935
-2.0,3,-18769.954153
-3.0,4,-18769.950174
-16.0,17,-18769.933681
-19.0,20,-18769.914972
-1.0,2,-18769.905241
-15.0,16,-18769.89095
-2.0,3,-18769.878553
-2.0,3,-18769.875603
-5.0,6,-18769.867182
-5.0,6,-18769.85865
-3.0,4,-18769.852151
-3.0,4,-18769.843489
-3.0,4,-18769.835554
-1.0,2,-18769.828626
-1.0,2,-18769.826674
-24.0,25,-18769.800629
-8.0,9,-18769.789803
-2.0,3,-18769.786256
-49.0,50,-18769.741822
-3.0,4,-18769.735463
-5.0,6,-18769.73005
-4.0,5,-18769.717588
-8.0,9,-18769.705827
-5.0,6,-18769.69141
-3.0,4,-18769.685381
-12.0,13,-18769.673674
-3.0,4,-18769.668633
-7.0,8,-18769.656485
0.0,1,-18769.654584
-1.0,2,-18769.652501
-4.0,5,-18769.648282
-7.0,8,-18769.6403
-8.0,9,-18769.630636
-5.0,6,-18769.617237
-19.0,20,-18769.595552
-8.0,9,-18769.58001
-13.0,14,-18769.559287
-3.0,4,-18769.551025
-4.0,5,-18769.542017
-14.0,15,-18769.524535
-3.0,4,-18769.518115
-7.0,8,-18769.507082
-3.0,4,-18769.501935
-8.0,9,-18769.489359
-5.0,6,-18769.474761
-19.0,20,-18769.454657
-5.0,6,-18769.442521
-7.0,8,-18769.432008
-4.0,5,-18769.424158
-4.0,5,-18769.41774
-4.0,5,-18769.409259
-8.0,9,-18769.397129
-2.0,3,-18769.385581
-5.0,6,-18769.37974
-11.0,12,-18769.361837
-1.0,2,-18769.353079
-13.0,14,-18769.33956
-2.0,3,-18769.335739
-2.0,3,-18769.332998
-3.0,4,-18769.327295
-9.0,10,-18769.312605
-7.0,8,-18769.29805
-2.0,3,-18769.295005
-44.0,45,-18769.25317
-3.0,4,-18769.243195
-4.0,5,-18769.233586
-3.0,4,-18769.227131
-50.0,50,-18769.182438
-8.0,9,-18769.171855
-9.0,10,-18769.15464
-4.0,5,-18769.141999
-5.0,6,-18769.132625
-20.0,21,-18769.111592
-7.0,8,-18769.097369
-18.0,19,-18769.080081
-4.0,5,-18769.066911
-7.0,8,-18769.055279
-11.0,12,-18769.042921
-3.0,4,-18769.033514
-9.0,10,-18769.020212
-18.0,19,-18768.994863
-12.0,13,-18768.976044
-39.0,40,-18768.935145
-6.0,7,-18768.924372
-8.0,9,-18768.913314
-9.0,10,-18768.89622
-4.0,5,-18768.884058
-9.0,10,-18768.871387
-6.0,7,-18768.85638
-6.0,7,-18768.847663
-1.0,2,-18768.844546
-2.0,3,-18768.841733
-8.0,9,-18768.829603
-4.0,5,-18768.81639
-2.0,3,-18768.809893
-13.0,14,-18768.796788
-16.0,17,-18768.779525
-11.0,12,-18768.760571
0.0,1,-18768.753095
-19.0,20,-18768.734987
-5.0,6,-18768.723302
-12.0,13,-18768.709033
-2.0,3,-18768.701592
-22.0,23,-18768.681766
-7.0,8,-18768.672449
-2.0,3,-18768.668281
-3.0,4,-18768.664518
-23.0,24,-18768.640912
-2.0,3,-18768.63434
-1.0,2,-18768.632254
-2.0,3,-18768.626303
-4.0,5,-18768.621724
-3.0,4,-18768.61722
-5.0,6,-18768.611761
-9.0,10,-18768.602577
-2.0,3,-18768.592422
-13.0,14,-18768.580677
-1.0,2,-18768.576992
-9.0,10,-18768.568402
-18.0,19,-18768.543803
-3.0,4,-18768.533498
-10.0,11,-18768.518643
-4.0,5,-18768.50708
-2.0,3,-18768.500859
-26.0,27,-18768.476113
-2.0,3,-18768.46776
-16.0,17,-18768.452029
-22.0,23,-18768.423824
0.0,1,-18768.418969
-5.0,6,-18768.41358
-43.0,44,-18768.370979
-9.0,10,-18768.361219
-4.0,5,-18768.3489
-3.0,4,-18768.34142
-2.0,3,-18768.333808
-3.0,4,-18768.329648
-7.0,8,-18767.317441
-5.0,6,-18766.316206
-10.0,11,-18765.309187
-10.0,11,-18764.304582
0.0,1,-18763.307624
-9.0,10,-18763.299042
-9.0,10,-18761.864915
0.0,1,-18761.297821
-2.0,3,-18761.294286
-6.0,7,-18760.287358
-8.0,9,-18759.281241
-10.0,11,-18758.273197
-5.0,6,-18757.271854
-1.0,2,-18756.269651
-6.0,7,-18756.2635
-5.0,6,-18755.26075
-4.0,5,-18754.256944
-7.0,8,-18753.249059
-9.0,10,-18752.240844
-10.0,11,-18751.234068
-2.0,3,-18750.237179
-1.0,2,-18749.233506
-2.0,3,-18749.230711
-4.0,5,-18748.225435
-3.0,4,-18747.220195
-6.0,7,-18746.21213
-15.0,16,-18745.19867
-6.0,7,-18744.201832
-3.0,4,-18743.199053
-9.0,10,-18742.188142
-3.0,4,-18741.187476
-3.0,4,-18740.181786
-8.0,9,-18739.17355
-3.0,4,-18738.171635
0.0,1,-18737.168814
-2.0,3,-18737.165509
-4.0,5,-18736.160364
-6.0,7,-18735.154679
-3.0,4,-18734.152375
0.0,1,-18733.149166
-9.0,10,-18733.140003
-4.0,5,-18732.139965
-27.0,28,-18731.116138
-2.0,3,-18730.132022
-5.0,6,-18730.12604
-4.0,5,-18729.123292
-2.0,3,-18728.122963
-5.0,6,-18727.115901
-5.0,6,-18726.1107
-4.0,5,-18725.106203
-4.0,5,-18724.101512
-21.0,22,-18723.081487
-2.0,3,-18722.584366
-15.0,16,-18722.569029
-2.0,3,-18722.559166
-7.0,8,-18722.551863
-4.0,5,-18722.540323
-24.0,25,-18722.514739
-12.0,13,-18722.500418
-16.0,17,-18722.480074
-5.0,6,-18722.471594
-7.0,8,-18722.460794
-8.0,9,-18722.450874
-8.0,9,-18722.433992
-3.0,4,-18722.42242
-24.0,25,-18722.396014
-18.0,19,-18722.37826
-10.0,11,-18722.362427
-16.0,17,-18722.342106
-14.0,15,-18722.323347
-1.0,2,-18722.319821
-4.0,5,-18722.315382
-4.0,5,-18722.309668
-3.0,4,-18722.301467
-2.0,3,-18722.293912
-6.0,7,-18722.287339
-4.0,5,-18722.275361
-2.0,3,-18722.269143
-4.0,5,-18722.264791
-10.0,11,-18722.253652
0.0,1,-18722.243506
-3.0,4,-18722.239707
-4.0,5,-18722.23113
-11.0,12,-18722.215222
-9.0,10,-18722.198686
-8.0,9,-18722.183624
-6.0,7,-18722.168628
-1.0,2,-18722.164607
-10.0,11,-18722.153909
-2.0,3,-18722.146912
-18.0,19,-18722.131019
-3.0,4,-18722.121569
-8.0,9,-18722.108531
-8.0,9,-18722.091071
-6.0,7,-18722.077821
-3.0,4,-18722.072123
-7.0,8,-18722.059613
-2.0,3,-18722.056207
-5.0,6,-18722.050306
-22.0,23,-18722.022342
-3.0,4,-18722.013722
-4.0,5,-18722.00415
-4.0,5,-18721.995746
-9.0,10,-18721.982814
-11.0,12,-18721.964898
-7.0,8,-18721.950953
-8.0,9,-18721.941988
-1.0,2,-18721.939656
-3.0,4,-18721.93593
-6.0,7,-18721.925346
-16.0,17,-18721.908978
-14.0,15,-18721.894474
-5.0,6,-18721.88564
-6.0,7,-18721.876547
-2.0,3,-18721.871292
-5.0,6,-18721.866011
-4.0,5,-18721.852968
-10.0,11,-18721.839766
-2.0,3,-18721.829571
-25.0,26,-18721.806666
-19.0,20,-18721.776349
-3.0,4,-18721.769372
-15.0,16,-18721.747639
-3.0,4,-18721.738516
-10.0,11,-18721.723759
-5.0,6,-18721.711625
-3.0,4,-18721.705672
-5.0,6,-18721.699804
-4.0,5,-18721.695253
-1.0,2,-18721.68985
-14.0,15,-18721.676864
-5.0,6,-18721.669759
-6.0,7,-18721.660266
-7.0,8,-18721.651814
-9.0,10,-18721.641517
-7.0,8,-18721.626498
-11.0,12,-18721.615146
-15.0,16,-18721.59252
-1.0,2,-18721.58847
-7.0,8,-18721.58166
-3.0,4,-18721.570087
-1.0,2,-18721.563612
-6.0,7,-18721.557623
-1.0,2,-18721.546789
-8.0,9,-18721.53843
-8.0,9,-18721.524091
-9.0,10,-18721.506029
-11.0,12,-18721.487881
-2.0,3,-18721.479396
-7.0,8,-18721.47234
-1.0,2,-18721.461662
-7.0,8,-18721.454344
-3.0,4,-18721.444745
-8.0,9,-18721.432247
-10.0,11,-18721.413491
-7.0,8,-18721.399505
-4.0,5,-18721.394104
-4.0,5,-18721.385019
-28.0,29,-18721.356673
-4.0,5,-18721.351542
-9.0,10,-18721.338902
-6.0,7,-18721.32541
-7.0,8,-18721.315512
-5.0,6,-18721.308679
-3.0,4,-18721.302544
-3.0,4,-18721.293954
-6.0,7,-18721.282037
-2.0,3,-18721.278472
-7.0,8,-18721.264913
-6.0,7,-18721.257743
-5.0,6,-18721.250149
-10.0,11,-18721.237746
-12.0,13,-18721.218201
-4.0,5,-18721.208958
-9.0,10,-18721.19702
-20.0,21,-18721.169755
-3.0,4,-18721.159839
0.0,1,-18721.153908
-3.0,4,-18721.15021
-4.0,5,-18721.14242
-6.0,7,-18721.132574
-8.0,9,-18721.122124
-9.0,10,-18721.104293
-3.0,4,-18721.093163
-3.0,4,-18721.084419
-14.0,15,-18721.066736
-13.0,14,-18721.050548
-2.0,3,-18721.043283
-8.0,9,-18721.035314
-5.0,6,-18721.024791
-2.0,3,-18721.01873
-7.0,8,-18721.011666
-2.0,3,-18721.002022
-13.0,14,-18720.989871
-32.0,33,-18720.960346
-2.0,3,-18720.950691
-14.0,15,-18720.932961
-5.0,6,-18720.924619
-1.0,2,-18720.918794
-11.0,12,-18720.907626
-17.0,18,-18720.888413
-8.0,9,-18720.87955
-1.0,2,-18720.868885
-3.0,4,-18720.865193
-6.0,7,-18720.856184
-3.0,4,-18720.850971
-8.0,9,-18720.842848
-8.0,9,-18720.829894
-16.0,17,-18720.805919
-1.0,2,-18720.802505
-3.0,4,-18720.799007
-3.0,4,-18720.792098
-7.0,8,-18720.780392
-14.0,15,-18720.766376
-4.0,5,-18720.75785
-6.0,7,-18720.74797
-14.0,15,-18720.733248
-2.0,3,-18720.72628
-11.0,12,-18720.715671
-7.0,8,-18720.705705
-11.0,12,-18720.692714
-2.0,3,-18720.684599
-7.0,8,-18720.677205
-17.0,18,-18720.654921
-10.0,11,-18720.643782
-8.0,9,-18720.629215
-5.0,6,-18720.614141
-1.0,2,-18720.611059
-6.0,7,-18720.597535
-17.0,18,-18720.579732
-10.0,11,-18720.560218
0.0,1,-18720.553427
-6.0,7,-18720.546861
-4.0,5,-18720.540254
-2.0,3,-18720.534655
-5.0,6,-18720.523826
-5.0,6,-18720.515486
-3.0,4,-18720.509395
-7.0,8,-18720.501804
-3.0,4,-18720.491687
-1.0,2,-18720.486529
-7.0,8,-18720.47244
-6.0,7,-18720.465086
-11.0,12,-18720.451845
-2.0,3,-18720.443916
-6.0,7,-18720.437471
-6.0,7,-18720.423023
-1.0,2,-18720.419062
-5.0,6,-18720.413036
-5.0,6,-18720.39815
-3.0,4,-18720.392243
-1.0,2,-18720.385382
-3.0,4,-18720.381539
-8.0,9,-18720.371434
-7.0,8,-18720.363787
-27.0,28,-18720.338102
-8.0,9,-18720.320733
-5.0,6,-18720.306653
-3.0,4,-18720.30054
-3.0,4,-18720.292153
-4.0,5,-18720.282668
-3.0,4,-18720.275265
-1.0,2,-18720.267784
-4.0,5,-18720.263289
-7.0,8,-18720.255543
-4.0,5,-18720.249562
-3.0,4,-18720.242034
-3.0,4,-18720.233645
-3.0,4,-18720.225151
-1.0,2,-18720.218402
-3.0,4,-18720.214683
-4.0,5,-18720.208167
-5.0,6,-18720.198305
-6.0,7,-18720.189286
-5.0,6,-18719.72277
-3.0,4,-18719.713898
-8.0,9,-18719.701505
-7.0,8,-18719.685749
-5.0,6,-18719.670892
-2.0,3,-18719.665807
-2.0,3,-18719.662806
-3.0,4,-18719.656734
-5.0,6,-18719.645859
-5.0,6,-18719.638046
-5.0,6,-18719.629327
-3.0,4,-18719.623164
-3.0,4,-18719.613989
-3.0,4,-18719.605992
-2.0,3,-18719.598802
-7.0,8,-18719.591544
-5.0,6,-18719.579181
-7.0,8,-18719.569604
-3.0,4,-18719.564965
-2.0,3,-18719.561673
-6.0,7,-18719.553084
0.0,1,-18719.550667
-2.0,3,-18719.547526
-3.0,4,-18719.539008
-12.0,13,-18719.522637
-14.0,15,-18719.505416
-11.0,12,-18719.490752
-3.0,4,-18719.481711
-2.0,3,-18719.474289
-1.0,2,-18719.472364
-10.0,11,-18719.458732
0.0,1,-18719.450723
-2.0,3,-18719.447535
-15.0,16,-18719.429366
-4.0,5,-18719.422765
-2.0,3,-18719.415579
-1.0,2,-18719.413397
-5.0,6,-18719.404954
-5.0,6,-18719.397062
-7.0,8,-18719.386564
-3.0,4,-18719.381983
-7.0,8,-18719.374699
-9.0,10,-18719.365867
-2.0,3,-18719.357173
-6.0,7,-18719.350801
-9.0,10,-18719.334304
-3.0,4,-18719.322839
-4.0,5,-18719.313628
-2.0,3,-18719.307437
-14.0,15,-18719.293567
-3.0,4,-18719.280134
-1.0,2,-18719.274191
-5.0,6,-18719.268919
-4.0,5,-18719.263217
-5.0,6,-18719.253087
-17.0,18,-18719.235117
-3.0,4,-18719.222808
-9.0,10,-18719.208085
-1.0,2,-18719.198117
-11.0,12,-18719.185796
-5.0,6,-18719.178937
-3.0,4,-18719.171824
-8.0,9,-18719.159862
-2.0,3,-18719.148074
-3.0,4,-18719.144263
-3.0,4,-18719.138639
-2.0,3,-18719.130989
-3.0,4,-18719.12722
-7.0,8,-18719.118911
-11.0,12,-18719.106577
-3.0,4,-18719.097445
-10.0,11,-18719.082026
-2.0,3,-18719.073078
-24.0,25,-18719.05117
-3.0,4,-18719.039001
-8.0,9,-18719.024532
-5.0,6,-18719.010478
-4.0,5,-18719.004194
-3.0,4,-18718.996506
-3.0,4,-18718.98913
-7.0,8,-18718.977111
-4.0,5,-18718.970925
-3.0,4,-18718.963012
-6.0,7,-18718.951906
0.0,1,-18718.950534
-4.0,5,-18718.937506
-1.0,2,-18718.932564
-6.0,7,-18718.926679
-2.0,3,-18718.923592
-11.0,12,-18718.913163
-2.0,3,-18718.906731
-8.0,9,-18718.898493
-2.0,3,-18718.88971
-3.0,4,-18718.886005
-6.0,7,-18718.878591
-5.0,6,-18718.870483
-6.0,7,-18718.861392
-3.0,4,-18718.855863
-5.0,6,-18718.850781
-1.0,2,-18718.840379
-9.0,10,-18718.831823
-8.0,9,-18718.816818
-7.0,8,-18718.801582
-5.0,6,-18718.795295
-1.0,2,-18718.790522
-8.0,9,-18718.782011
-4.0,5,-18718.771055
-4.0,5,-18718.762776
-7.0,8,-18718.752151
-5.0,6,-18718.745286
-13.0,14,-18718.73012
-4.0,5,-18718.720568
-3.0,4,-18718.713397
-3.0,4,-18718.705183
0.0,1,-18718.699135
-9.0,10,-18718.690146
-2.0,3,-18718.681234
-4.0,5,-18718.676999
-2.0,3,-18718.673057
-7.0,8,-18718.665609
-14.0,15,-18718.645319
-3.0,4,-18718.638224
-6.0,7,-18718.627546
0.0,1,-18718.624339
-1.0,2,-18718.62227
-2.0,3,-18718.619066
-3.0,4,-18718.613933
-3.0,4,-18718.610289
-3.0,4,-18718.605371
-3.0,4,-18718.601566
-9.0,10,-18718.592595
-10.0,11,-18718.582853
-1.0,2,-18718.572968
-3.0,4,-18718.569318
-6.0,7,-18718.560577
-2.0,3,-18718.55583
-3.0,4,-18718.551937
-1.0,2,-18718.548348
-2.0,3,-18718.54532
-4.0,5,-18718.537092
-5.0,6,-18718.527888
-4.0,5,-18718.5207
-1.0,2,-18718.514687
-7.0,8,-18718.507365
-5.0,6,-18718.493951
-8.0,9,-18718.483779
-4.0,5,-18718.470278
-1.0,2,-18718.464809
-8.0,9,-18718.456885
-23.0,24,-18718.429304
-5.0,6,-18718.419408
-7.0,8,-18718.409588
-6.0,7,-18718.402182
-3.0,4,-18718.396326
-5.0,6,-18718.385815
-1.0,2,-18718.381392
-6.0,7,-18718.374649
-2.0,3,-18718.363554
-6.0,7,-18718.357392
-3.0,4,-18718.345673
-2.0,3,-18718.338263
-4.0,5,-18718.333721
-10.0,11,-18718.324158
-10.0,11,-18718.306781
-4.0,5,-18718.294874
-11.0,12,-18718.28072
0.0,1,-18718.27291
-9.0,10,-18718.264274
-7.0,8,-18718.249771
-1.0,2,-18718.239112
-6.0,7,-18718.233104
-9.0,10,-18718.21533
-17.0,18,-18718.192106
-5.0,6,-18718.186308
-5.0,6,-18718.17722
-4.0,5,-18718.169861
-19.0,20,-18718.148586
-6.0,7,-18718.133212
0.0,1,-18718.131691
-8.0,9,-18718.12408
-8.0,9,-18718.10781
-2.0,3,-18718.095641
-3.0,4,-18718.091755
-6.0,7,-18718.085604
-3.0,4,-18718.078911
-9.0,10,-18718.063982
-5.0,6,-18718.051996
-7.0,8,-18718.04228
-18.0,19,-18718.022099
-6.0,7,-18718.009174
-3.0,4,-18718.003468
-2.0,3,-18717.99569
-4.0,5,-18717.990888
-4.0,5,-18717.97767
-3.0,4,-18717.969471
-11.0,12,-18717.95377
0.0,1,-18717.947661
-2.0,3,-18717.94464
-2.0,3,-18717.937455
-6.0,7,-18717.931026
-13.0,14,-18717.910734
-2.0,3,-18717.904261
-3.0,4,-18717.900411
-3.0,4,-18717.894979
-9.0,10,-18717.881348
-10.0,11,-18717.863368
-5.0,6,-18717.850997
-6.0,7,-18717.842339
-19.0,20,-18717.822952
-4.0,5,-18717.810367
0.0,1,-18717.805515
-1.0,2,-18717.803591
-3.0,4,-18717.800052
-3.0,4,-18717.794887
-14.0,15,-18717.777094
-2.0,3,-18717.770591
-3.0,4,-18717.766791
-5.0,6,-18717.759943
-3.0,4,-18717.753056
-5.0,6,-18717.742242
-3.0,4,-18717.736245
-15.0,16,-18717.717723
-5.0,6,-18717.708826
-4.0,5,-18717.70225
-6.0,7,-18717.69224
-6.0,7,-18717.683724
-10.0,11,-18717.672621
-8.0,9,-18717.656667
-9.0,10,-18717.639143
-5.0,6,-18717.624489
-7.0,8,-18717.614751
-4.0,5,-18717.609256
-5.0,6,-18717.59993
-2.0,3,-18717.594136
-6.0,7,-18717.588102
-7.0,8,-18717.574019
-3.0,4,-18717.568987
-11.0,12,-18717.552775
-3.0,4,-18717.543042
-10.0,11,-18717.528412
-2.0,3,-18717.519212
-13.0,14,-18717.501032
-7.0,8,-18717.489851
-28.0,29,-18717.455277
-6.0,7,-18717.439712
-4.0,5,-18717.426344
-4.0,5,-18717.417114
0.0,1,-18717.413448
-4.0,5,-18717.400728
-7.0,8,-18717.38926
-6.0,7,-18717.373002
-2.0,3,-18717.359837
-7.0,8,-18717.352668
0.0,1,-18717.346153
-8.0,9,-18717.337594
-1.0,2,-18717.328362
-9.0,10,-18717.319078
-7.0,8,-18717.306684
-7.0,8,-18717.29874
-3.0,4,-18717.293908
0.0,1,-18717.292807
-3.0,4,-18717.288843
-29.0,30,-18717.262976
0.0,1,-18717.254391
-6.0,7,-18717.247248
-1.0,2,-18717.236803
-6.0,7,-18717.230529
-7.0,8,-18717.214381
-5.0,6,-18717.207941
-2.0,3,-18717.202594
-3.0,4,-18717.199063
-3.0,4,-18717.193519
-3.0,4,-18717.18994
-1.0,2,-18717.188036
-11.0,12,-18717.177842
-3.0,4,-18717.168322
-9.0,10,-18717.154428
-3.0,4,-18717.142734
-2.0,3,-18717.135781
-2.0,3,-18717.132662
-2.0,3,-18717.127471
-3.0,4,-18717.123936
-2.0,3,-18717.119283
-2.0,3,-18717.116282
-6.0,7,-18717.107492
-4.0,5,-18717.100899
-7.0,8,-18717.089079
-3.0,4,-18717.076057
-6.0,7,-18717.065537
-7.0,8,-18717.05545
-2.0,3,-18717.051096
-13.0,14,-18717.039056
-17.0,18,-18717.021035
-4.0,5,-18717.008677
-2.0,3,-18717.001689
-4.0,5,-18716.996673
-8.0,9,-18716.98818
-13.0,14,-18716.967099
-3.0,4,-18716.9596
-1.0,2,-18716.957593
-6.0,7,-18716.950326
-12.0,13,-18716.934231
-2.0,3,-18716.926962
-4.0,5,-18716.922582
-7.0,8,-18716.914383
-7.0,8,-18716.906156
-7.0,8,-18716.897475
-7.0,8,-18716.889674
-4.0,5,-18716.88392
-3.0,4,-18716.874755
-5.0,6,-18716.865836
-5.0,6,-18716.857436
-11.0,12,-18716.844056
-11.0,12,-18716.826919
-1.0,2,-18716.818905
-10.0,11,-18716.809175
-18.0,19,-18716.312052
-3.0,4,-18716.30014
-1.0,2,-18716.292616
-5.0,6,-18716.286308
-1.0,2,-18716.276688
-3.0,4,-18716.272457
-4.0,5,-18716.265122
-3.0,4,-18716.256308
-2.0,3,-18716.249317
-3.0,4,-18716.245825
-3.0,4,-18716.240445
0.0,1,-18716.239351
-2.0,3,-18716.236534
-4.0,5,-18716.231721
-1.0,2,-18716.22975
-3.0,4,-18716.225933
0.0,1,-18716.224722
-3.0,4,-18716.220931
-3.0,4,-18716.215563
-2.0,3,-18716.208412
-6.0,7,-18716.202195
-6.0,7,-18716.187934
-3.0,4,-18716.183137
-8.0,9,-18716.174019
0.0,1,-18716.168186
-3.0,4,-18716.164726
-1.0,2,-18716.159244
-10.0,11,-18716.149549
-15.0,16,-18716.129768
-3.0,4,-18716.124387
-5.0,6,-18716.119121
-2.0,3,-18716.107733
-16.0,17,-18716.092571
-2.0,3,-18716.08273
-9.0,10,-18716.073205
-1.0,2,-18716.067266
-12.0,13,-18716.056353
-4.0,5,-18716.048159
-10.0,11,-18716.035138
-4.0,5,-18716.022785
-2.0,3,-18716.016356
-8.0,9,-18716.008363
-2.0,3,-18715.999511
0.0,1,-18715.998363
-6.0,7,-18715.988263
-1.0,2,-18715.984022
-13.0,14,-18715.971879
-4.0,5,-18715.964185
-2.0,3,-18715.958083
-4.0,5,-18715.953612
-10.0,11,-18715.943282
-4.0,5,-18715.930759
-4.0,5,-18715.923319
-3.0,4,-18715.915401
-5.0,6,-18715.905251
-2.0,3,-18715.899868
-26.0,27,-18715.874733
-3.0,4,-18715.865318
-5.0,6,-18715.855155
-3.0,4,-18715.848565
-2.0,3,-18715.83867
-3.0,4,-18715.83137
-3.0,4,-18715.822919
-3.0,4,-18715.814899
-9.0,10,-18715.800453
-2.0,3,-18715.790972
-5.0,6,-18715.785768
-6.0,7,-18715.770461
-25.0,26,-18715.745512
-5.0,6,-18715.738377
-4.0,5,-18715.730574
-4.0,5,-18715.722296
-3.0,4,-18715.714697
-5.0,6,-18715.704108
-9.0,10,-18715.693524
-5.0,6,-18715.679425
-4.0,5,-18715.672231
-13.0,14,-18715.656316
0.0,1,-18715.650698
0.0,1,-18715.649536
-2.0,3,-18715.646717
-6.0,7,-18715.637369
-5.0,6,-18715.62999
-3.0,4,-18715.622766
-6.0,7,-18715.611866
-10.0,11,-18715.599632
-4.0,5,-18715.588492
-10.0,11,-18715.575102
-3.0,4,-18715.564243
-2.0,3,-18715.55689
-2.0,3,-18715.553872
-15.0,16,-18715.537702
-8.0,9,-18715.526334
-3.0,4,-18715.514025
-11.0,12,-18715.498484
-4.0,5,-18715.487853
-4.0,5,-18715.480222
-8.0,9,-18715.467871
-5.0,6,-18715.45432
-7.0,8,-18715.443876
0.0,1,-18715.442102
-8.0,9,-18715.433718
-5.0,6,-18715.420698
-9.0,10,-18715.408941
-2.0,3,-18715.398079
-3.0,4,-18715.39439
-1.0,2,-18715.391205
-8.0,9,-18715.382923
-3.0,4,-18715.372006
-5.0,6,-18715.362391
-3.0,4,-18715.355987
-5.0,6,-18715.350506
0.0,1,-18715.349336
-4.0,5,-18715.34472
-5.0,6,-18715.337445
-6.0,7,-18715.328513
-6.0,7,-18715.320119
-2.0,3,-18715.315167
-15.0,16,-18715.301025
-5.0,6,-18715.286951
